Current,Voltage,Temp,dTdt,Label
1.81,10.89,30.5,0.017,0
3.83,11.7,34.5,0.015,1
3.06,11.72,33.1,0.02,1
2.6,11.88,32,0.028,1
1.05,12.03,29,0.022,0
1.05,12.46,28.9,0.007,0
0.7,11.68,28.8,0.002,0
3.53,11.35,34.1,0.009,1
2.6,12.15,32.1,0.018,1
2.98,11.26,33,0.002,1
0.57,11.55,28.1,0.015,0
3.89,10.93,34.7,0.018,1
3.41,10.84,33.9,0.011,1
1.24,12.44,29.6,0.023,0
1.14,12.22,29.2,0.004,0
1.14,11.98,29.2,0.003,0
1.56,11.5,30.1,0.022,0
2.34,11.09,31.2,0.015,0
2.01,11.07,30.7,0.021,0
1.52,11.23,30.3,0.014,0
2.64,11.73,32.6,0.008,1
0.99,12.01,28.9,0.025,0
1.52,11.92,30.2,0.024,0
1.78,11.28,30.6,0.021,0
2.1,12.42,31.8,0.009,0
3.25,12.05,33.7,0.018,1
1.2,11.74,29.4,0.011,0
2.3,11.84,31.4,0.004,0
2.57,11.51,31.8,0.028,0
0.66,11.22,28.4,0.005,0
2.63,11.41,32.1,0.029,1
1.1,12.09,28.9,0.014,0
0.73,10.82,28.3,0.006,0
3.82,11,34.4,0.017,1
3.88,10.88,35.1,0.026,1
3.33,10.87,33.8,0.022,1
1.57,12.25,30.1,0.024,0
0.84,12,29,0.02,0
2.89,11.61,32.8,0.021,1
2.04,10.97,30.9,0.026,0
0.93,11.64,29.2,0.008,0
2.23,11.6,31.6,0.015,0
0.62,11.09,28,0.007,0
3.68,11.54,34.3,0.03,1
1.41,11.48,29.6,0.028,0
2.82,11.85,32.4,0.002,1
1.59,11.88,30.4,0.021,0
2.32,10.88,32,0.028,1
2.41,11.44,31.5,0.006,0
1.15,11.86,29.4,0.017,0
3.89,11.66,34.6,0.028,1
3.21,12.26,33.3,0.002,1
3.79,11.92,34.5,0.021,1
3.63,11.08,34.1,0.01,1
2.59,10.92,32.2,0.028,1
3.73,11.89,34.3,0.029,1
0.81,10.85,28.7,0.028,0
1.19,11.8,29.4,0.015,0
0.66,12.4,28.3,0.026,0
1.64,11.78,30.1,0.025,0
1.86,11.46,30.6,0.01,0
1.45,11.89,30.1,0.025,0
3.4,11.58,33.9,0.002,1
1.75,11.73,30.3,0.018,0
1.48,12.4,30,0.008,0
2.4,11.46,32,0.004,1
0.99,12.43,28.6,0.003,0
3.31,12.34,33.7,0.021,1
0.76,11.13,28.4,0.011,0
3.95,10.92,35,0.022,1
3.2,10.97,33.2,0.003,1
1.2,10.83,29,0.01,0
0.52,10.96,27.7,0.017,0
3.35,11.96,33.7,0.024,1
2.97,10.92,33,0.01,1
3.05,11.34,32.9,0.019,1
3.2,12.24,33.5,0.027,1
0.76,10.84,28.2,0.019,0
1.75,12.18,30.5,0.008,0
0.91,11.28,28.6,0.002,0
3.52,11,33.9,0.026,1
2.68,11.98,32.4,0.002,1
1.66,11.87,30.1,0.026,0
0.72,12.29,28.4,0.016,0
1.59,12.05,30.4,0.028,0
1.64,12.17,30.2,0.024,0
3.05,11.28,33.3,0.03,1
2.73,11.1,32.2,0.011,1
3.61,12.08,34.3,0.023,1
2.15,12.17,31.6,0.013,0
0.92,12.48,28.3,0.015,0
3,11.5,32.8,0.019,1
3.16,11.43,33.4,0.026,1
2.46,12.12,31.9,0.03,0
3.2,11.38,33.5,0.023,1
2.23,12.38,31.3,0.013,0
2.33,12.26,31.7,0.013,0
2,11.53,31,0.022,0
0.59,12.08,28.4,0.008,0
0.88,12.08,28.8,0.004,0
0.61,10.98,28.3,0.011,0
2.73,12.33,32.4,0.009,1
1.6,11.66,30.1,0.01,0
2.28,12.2,31.5,0.008,0
3.68,11.34,34.4,0.002,1
1.37,12.32,29.7,0.002,0
1.94,11.46,30.9,0.03,0
3.14,10.82,33.7,0.013,1
1.3,12.34,29.8,0.012,0
0.77,10.96,28.5,0.021,0
1.51,11.34,30.3,0.007,0
1.06,12.42,29,0.029,0
3.75,12.42,34.1,0.024,1
3.33,11.77,33.5,0.004,1
2.72,11.87,32.1,0.013,1
3.55,11.56,34,0.026,1
3.31,11.3,33.6,0.028,1
1.15,11.36,29.6,0.015,0
3.62,11.94,34.3,0.019,1
2.39,12.08,31.7,0.006,0
3.33,12.15,33.8,0.03,1
3.64,12.14,33.8,0.008,1
1.61,10.96,30.3,0.028,0
0.89,11.64,28.9,0.02,0
1.3,10.9,29.3,0.019,0
1.99,11.73,31.2,0.016,0
3.36,11.55,33.8,0.008,1
3.51,12.31,33.9,0.006,1
0.52,11.4,28.2,0.007,0
2.29,11,32,0.006,1
1.96,11.04,31,0.024,0
1.28,12.09,29.6,0.011,0
0.92,11.85,28.7,0.003,0
1.68,10.97,30.2,0.029,0
3.8,10.94,34.8,0.027,1
1.63,11.99,30.1,0.028,0
2.32,10.92,31.7,0.03,0
2.96,12.2,32.8,0.006,1
1.77,12,30.6,0.012,0
3.9,10.94,34.9,0.023,1
3.87,10.94,34.9,0.021,1
1.38,12.48,29.7,0.005,0
2.24,11.44,31.4,0.025,0
1.55,11.43,29.9,0.008,0
1.5,12.18,29.9,0.007,0
0.63,12.41,28.3,0.017,0
2.63,12.48,32.4,0.018,1
2.26,12.08,31.3,0.018,0
0.68,11.44,28.5,0.004,0
1.48,10.94,30.2,0.026,0
3.68,12.12,34.4,0.009,1
1.34,11.75,30.1,0.005,0
